record,nr
2018/07/31,405728790.2656644
2018/08/01,406385421.32259053
2018/08/02,400487739.1857188
2018/08/03,411366308.76528794
2018/08/04,409223746.8394868
2018/08/05,411222608.7246883
2018/08/06,362682916.7124231
2018/08/07,390764027.9545446
2018/08/08,410755431.0601509
2018/08/09,405872928.06765574
2018/08/10,411336907.74736816
2018/08/11,425445738.349735
2018/08/12,403668453.4484967
2018/08/13,426265817.6936535
2018/08/14,432906612.35042256
2018/08/15,435024298.1833782
2018/08/16,429644591.70335037
2018/08/17,428537255.0096858
2018/08/18,425268430.38183254
2018/08/19,425846416.0464302
2018/08/20,420640039.0639547
2018/08/21,370938297.8424506
2018/08/22,411487076.3788884
2018/08/23,413258821.30556107
2018/08/24,440668729.1556951
2018/08/25,438524392.62734824
2018/08/26,435982490.8887889
2018/08/27,428984108.64362514
2018/08/28,421107260.3682976
2018/08/29,425148191.16651994
2018/08/30,410850433.3849328
2018/08/31,413935612.3897568
2018/09/01,410046801.49260277
2018/09/02,373356386.391592
2018/09/03,377249262.3638662
2018/09/04,343427345.33673126
2018/09/05,387257121.90474653
2018/09/06,402854521.779367
2018/09/07,399708438.78814155
2018/09/08,382644289.87075615
2018/09/09,404556365.60811484
2018/09/10,400508661.84646744
2018/09/11,394208641.33604306
2018/09/12,406463027.95346683
2018/09/13,399468909.7479734
2018/09/14,419067037.9187754
2018/09/15,373144244.7456512
2018/09/16,384179131.12173194
2018/09/17,407332520.1367976
2018/09/18,410740603.71772236
2018/09/19,387714761.7483379
2018/09/20,414552992.4090906
2018/09/21,414273635.7892871
2018/09/22,398100921.61197567
2018/09/23,390712390.6637711
2018/09/24,400479878.8829343
2018/09/25,399739664.5056475
